Time,Block,NR/2024/21279/A/25079,NR/30092023/31122025/SH-07,NR/2024/21108/A/25133,NR/2024/21153/A/24840,NR/2024/21099/A/25007,NR/2024/21023/A/24852,NR/2024/21089/A/25120,NR/2024/20877/A/25146,NR/01072024/04072024/1000011434-JITPL-BRPL(DISCOM),NR/2024/20688/A/24873,NR/2024/21096/A/25139,NR/2024/21238/A/25165,NR/2024/21103/A/25137,NR/2024/21072/A/25121,NR/2024/21173/A/24871,NR/2024/20574/A/24930,NR/2024/21113/A/25119,NR/2024/21227/A/25136,NR/2024/21303/C,NR/01102023/25122043/GNA_MEJA_DELHI,NR/2024/20930/A/25074,NR/2024/21152/A/24795,NR/01102023/23072042/L_NR_2012_04,NR/01072024/31072024/NDMC/D-55/EE(POWER)2024,NR/2024/21243/A/24901,NR/2024/20573/A/24924,NR/2024/21304/C,NR/2024/21062/A/24944,NR/2024/21104/A/25135,NR/30092023/26122029/SH-06,NR/2024/21160/A/24836,NR/2024/21305/C,NR/2024/21210/A/24993,NR/2024/21302/C,NR/2024/21322/C,NR/2024/20711/A/25087,NR/2024/21186/A/25145,NR/2024/21148/A/24837,NR/01072024/31072024/IIPL/JPL(TM)-BRPL/BRPLT-169/24-25/02,NR/01072024/31072024/	NR/01072024/31072024/TataPower-DDL/PMG/MSEDCL/Banking/12112023,NR/2024/21311/C,NR/2024/21076/A/25159,NR/01072024/31072024/APPCPL/180/F25/TGNA/3250,NR/01072024/31072024/R2,NR/2024/21183/A/25163,NR/2024/21146/A/24838,NR/2024/21199/A/24864,NR/2024/21313/C,NR/2024/21075/A/25164,NR/01072024/15072024/NR/01072024/15072024/717759,NR/2024/19779/A/24968,NR/2024/21087/A/24872,NR/2024/21141/A/25000,NR/2024/21142/A/24996,NR/2024/21159/A/24874,NR/2024/21158/A/24842,NR/2024/20966/A/24796,NR/2024/21150/A/24839,NR/2024/21156/A/24841,NR/01072024/31072024/NDMC/D-54/EE(POWER)2024,NR/2024/21333/C,NR/01072024/31072024/IIPL/JPL(SH)-BRPL/BRPL T-249/24-25/1,NR/01072024/31072024/Chanju/TPDDL/Jul01072024,NR/01102023/02012046/L_NR_2021_17,NR/01102023/14082046/L_NR_2021_16,Total
67,16:30-16:45,96.390000,26.540000,24.020000,1.590000,24.100000,96.390000,37.240000,96.390000,0.000000,66.690000,120.490000,2.890000,84.030000,37.240000,24.100000,0.000000,37.240000,0.000000,0.87,0.000000,192.780000,1.930000,0.000000,24.770000,134.950000,0.000000,168.440000,24.100000,64.660000,26.540000,0.970000,24.100000,48.200000,240.980000,11.570000,0.000000,48.200000,0.520000,0.000000,0.000000,0.000000,90.610000,0.000000,0.000000,21.210000,0.360000,72.290000,0.000000,11.710000,0.000000,0.870000,24.100000,0.000000,48.200000,0.880000,0.670000,4.820000,0.880000,0.610000,12.420000,0.000000,0.000000,17.020000,0,0,2095.57

68,16:45-17:00,96.390000,26.540000,24.020000,1.590000,24.100000,96.390000,37.240000,96.390000,0.000000,66.690000,120.490000,2.890000,84.030000,37.240000,24.100000,0.000000,37.240000,0.000000,1.2,0.000000,192.780000,1.930000,0.000000,24.770000,134.950000,0.000000,168.440000,24.100000,64.660000,26.540000,0.970000,24.100000,48.200000,240.980000,11.570000,0.000000,48.200000,0.520000,0.000000,0.000000,0.000000,90.610000,0.000000,0.000000,21.210000,0.360000,72.290000,0.000000,11.710000,0.000000,0.870000,24.100000,0.000000,48.200000,0.880000,0.670000,4.820000,0.880000,0.610000,12.420000,0.000000,0.000000,17.020000,0,0,2095.9

69,17:00-17:15,96.390000,26.540000,24.020000,1.590000,24.100000,96.390000,37.240000,96.390000,0.000000,66.690000,120.490000,2.890000,84.030000,37.240000,24.100000,0.000000,37.240000,0.000000,1.13,0.000000,192.780000,1.930000,0.000000,24.770000,134.950000,0.000000,168.440000,24.100000,64.660000,26.540000,0.970000,24.100000,48.200000,240.980000,11.570000,0.000000,48.200000,0.520000,0.000000,0.000000,0.000000,90.610000,0.000000,0.000000,21.210000,0.360000,72.290000,0.000000,11.710000,0.000000,0.870000,24.100000,0.000000,48.200000,0.880000,0.670000,4.820000,0.880000,0.610000,12.420000,0.000000,0.000000,17.300000,0,0,2096.11

70,17:15-17:30,96.390000,26.540000,24.020000,1.590000,24.100000,96.390000,37.240000,96.390000,0.000000,66.690000,120.490000,2.890000,84.030000,37.240000,24.100000,0.000000,37.240000,0.000000,1.01,0.000000,192.780000,1.930000,0.000000,24.770000,134.950000,0.000000,168.440000,24.100000,64.660000,26.540000,0.970000,24.100000,48.200000,240.980000,11.570000,0.000000,48.200000,0.520000,0.000000,0.000000,0.000000,90.610000,0.000000,0.000000,21.210000,0.360000,72.290000,0.000000,11.710000,0.000000,0.870000,24.100000,0.000000,48.200000,0.880000,0.670000,4.820000,0.880000,0.610000,12.420000,0.000000,0.000000,17.300000,0,0,2095.99

71,17:30-17:45,96.390000,26.540000,24.020000,1.590000,24.100000,96.390000,37.240000,96.390000,0.000000,66.690000,120.490000,2.890000,84.030000,37.240000,24.100000,0.000000,37.240000,0.000000,1.07,0.000000,192.780000,1.930000,0.000000,24.770000,134.950000,0.000000,168.440000,24.100000,64.660000,26.540000,0.970000,24.100000,48.200000,240.980000,11.570000,0.000000,48.200000,0.520000,0.000000,0.000000,0.000000,90.610000,0.000000,0.000000,21.210000,0.360000,72.290000,0.000000,11.710000,0.000000,0.870000,24.100000,0.000000,48.200000,0.880000,0.670000,4.820000,0.880000,0.610000,12.420000,0.000000,0.000000,17.300000,0,0,2096.05

72,17:45-18:00,96.390000,26.540000,24.020000,1.590000,24.100000,96.390000,37.240000,96.390000,0.000000,66.690000,120.490000,2.890000,84.030000,37.240000,24.100000,0.000000,37.240000,0.000000,0.6,0.000000,192.780000,1.930000,0.000000,24.770000,134.950000,0.000000,168.440000,24.100000,64.660000,26.540000,0.970000,24.100000,48.200000,240.980000,11.570000,0.000000,48.200000,0.520000,0.000000,0.000000,0.000000,90.610000,0.000000,0.000000,21.210000,0.360000,72.290000,0.000000,11.710000,0.000000,0.870000,24.100000,0.000000,48.200000,0.880000,0.670000,4.820000,0.880000,0.610000,12.420000,0.000000,0.000000,17.300000,0,0,2095.58

73,18:00-18:15,0.000000,26.540000,24.020000,1.590000,24.100000,0.000000,37.240000,96.390000,96.390000,66.690000,120.490000,2.890000,84.030000,37.240000,24.100000,0.000000,37.240000,0.000000,0.39,0.000000,0.000000,1.930000,0.000000,24.770000,134.950000,0.000000,168.440000,0.000000,64.660000,26.540000,0.970000,9.640000,48.200000,240.980000,11.570000,0.000000,48.200000,0.520000,96.390000,0.000000,0.000000,90.610000,0.000000,24.100000,21.210000,0.360000,0.000000,0.000000,0.000000,192.780000,0.870000,24.100000,47.670000,48.200000,0.880000,0.670000,4.820000,0.880000,0.610000,12.420000,0.000000,72.290000,17.760000,0,0,2117.33

74,18:15-18:30,0.000000,26.540000,24.020000,1.590000,24.100000,0.000000,37.240000,96.390000,96.390000,66.690000,120.490000,2.890000,84.030000,37.240000,24.100000,0.000000,37.240000,0.000000,0.29,0.000000,0.000000,1.930000,0.000000,24.770000,134.950000,0.000000,168.440000,0.000000,64.660000,26.540000,0.970000,9.640000,48.200000,240.980000,11.570000,0.000000,48.200000,0.520000,96.390000,0.000000,0.000000,90.610000,0.000000,24.100000,21.210000,0.360000,0.000000,0.000000,0.000000,192.780000,0.870000,24.100000,47.670000,48.200000,0.880000,0.670000,4.820000,0.880000,0.610000,12.420000,0.000000,72.290000,17.760000,0,0,2117.23

75,18:30-18:45,0.000000,26.540000,24.020000,1.590000,24.100000,0.000000,37.240000,96.390000,96.390000,66.690000,91.570000,2.890000,84.030000,37.240000,24.100000,0.000000,37.240000,0.000000,0.19,0.000000,0.000000,1.930000,0.000000,24.770000,134.950000,0.000000,168.440000,0.000000,64.660000,26.540000,0.970000,9.640000,48.200000,240.980000,11.570000,0.000000,48.200000,0.520000,96.390000,0.000000,0.000000,90.610000,0.000000,24.100000,21.210000,0.360000,0.000000,0.000000,0.000000,192.780000,0.870000,24.100000,47.670000,48.200000,0.880000,0.670000,4.820000,0.880000,0.610000,12.420000,0.000000,72.290000,17.760000,0,0,2088.21

76,18:45-19:00,0.000000,26.540000,24.020000,1.590000,24.100000,0.000000,37.240000,96.390000,96.390000,66.690000,91.570000,2.890000,84.030000,37.240000,24.100000,0.000000,37.240000,0.000000,0,0.000000,0.000000,1.930000,0.000000,24.770000,134.950000,0.000000,168.440000,0.000000,64.660000,26.540000,0.970000,9.640000,48.200000,240.980000,11.570000,0.000000,48.200000,0.520000,96.390000,0.000000,0.000000,90.610000,0.000000,24.100000,21.210000,0.360000,0.000000,0.000000,0.000000,192.780000,0.870000,24.100000,47.670000,48.200000,0.880000,0.670000,4.820000,0.880000,0.610000,12.420000,0.000000,72.290000,17.760000,0,0,2088.02

77,19:00-19:15,0.000000,25.560000,24.020000,1.590000,24.100000,0.000000,37.240000,96.390000,96.390000,66.690000,91.570000,2.890000,84.030000,37.240000,24.100000,0.000000,37.240000,0.000000,0,0.000000,0.000000,1.930000,0.000000,24.770000,134.950000,0.000000,168.440000,0.000000,64.660000,32.000000,0.970000,9.640000,48.200000,240.980000,11.570000,0.000000,48.200000,0.520000,96.390000,0.000000,0.000000,90.610000,0.000000,24.100000,21.210000,0.360000,0.000000,0.000000,0.000000,192.780000,0.920000,24.100000,47.670000,48.200000,0.880000,0.670000,4.820000,0.880000,0.610000,12.420000,0.000000,72.290000,18.220000,0,0,2093.01

78,19:15-19:30,0.000000,25.560000,24.020000,1.590000,24.100000,0.000000,37.240000,96.390000,96.390000,66.690000,91.570000,2.890000,84.030000,37.240000,24.100000,0.000000,37.240000,0.000000,0,0.000000,0.000000,1.930000,0.000000,24.770000,134.950000,0.000000,168.440000,0.000000,64.660000,32.000000,0.970000,9.640000,48.200000,240.980000,11.570000,0.000000,48.200000,0.520000,96.390000,0.000000,0.000000,90.610000,0.000000,24.100000,21.210000,0.360000,0.000000,0.000000,0.000000,192.780000,0.920000,24.100000,47.670000,48.200000,0.880000,0.670000,4.820000,0.880000,0.610000,12.420000,0.000000,72.290000,18.220000,0,0,2093.01

79,19:30-19:45,0.000000,14.550000,24.020000,1.590000,24.100000,0.000000,37.240000,96.390000,96.390000,66.690000,91.570000,2.890000,84.030000,37.240000,24.100000,0.000000,37.240000,0.000000,0,0.000000,0.000000,1.930000,0.000000,24.770000,134.950000,0.000000,168.440000,0.000000,64.660000,32.000000,0.970000,9.640000,48.200000,240.980000,11.570000,0.000000,48.200000,0.520000,96.390000,0.000000,0.000000,90.610000,0.000000,24.100000,21.210000,0.360000,0.000000,0.000000,0.000000,192.780000,0.920000,24.100000,47.670000,48.200000,0.880000,0.670000,4.820000,0.880000,0.610000,12.420000,0.000000,72.290000,18.220000,0,0,2082

80,19:45-20:00,0.000000,0.000000,24.020000,1.590000,24.100000,0.000000,37.240000,96.390000,96.390000,66.690000,91.570000,2.890000,84.030000,37.240000,24.100000,0.000000,37.240000,0.000000,0,0.000000,0.000000,1.930000,0.000000,24.770000,134.950000,0.000000,168.440000,0.000000,64.660000,32.000000,0.970000,9.640000,48.200000,240.980000,11.570000,0.000000,48.200000,0.520000,96.390000,0.000000,0.000000,90.610000,0.000000,24.100000,21.210000,0.360000,0.000000,0.000000,0.000000,192.780000,0.920000,24.100000,47.670000,48.200000,0.880000,0.670000,4.820000,0.880000,0.610000,12.420000,0.000000,72.290000,18.220000,0,0,2067.45

81,20:00-20:15,0.000000,30.530000,24.020000,1.590000,24.100000,0.000000,37.240000,96.390000,96.390000,66.690000,91.570000,2.890000,84.030000,37.240000,24.100000,0.000000,37.240000,0.000000,0,0.000000,0.000000,1.930000,0.000000,24.770000,134.950000,0.000000,168.440000,0.000000,64.660000,30.530000,0.970000,9.640000,48.200000,240.980000,11.570000,0.000000,48.200000,0.520000,96.390000,0.000000,0.000000,90.610000,0.000000,24.100000,21.210000,0.360000,0.000000,0.000000,0.000000,192.780000,0.920000,24.100000,47.670000,48.200000,0.880000,0.670000,4.820000,0.880000,0.610000,12.420000,0.000000,72.290000,18.680000,0,0,2096.97

82,20:15-20:30,0.000000,30.530000,24.020000,1.590000,24.100000,0.000000,37.240000,96.390000,96.390000,66.690000,91.570000,2.890000,84.030000,37.240000,24.100000,0.000000,37.240000,0.000000,0,0.000000,0.000000,1.930000,0.000000,24.770000,134.950000,0.000000,168.440000,0.000000,64.660000,30.530000,0.970000,9.640000,48.200000,240.980000,11.570000,0.000000,48.200000,0.520000,96.390000,0.000000,0.000000,90.610000,0.000000,24.100000,21.210000,0.360000,0.000000,0.000000,0.000000,192.780000,0.920000,24.100000,47.670000,48.200000,0.880000,0.670000,4.820000,0.880000,0.610000,12.420000,0.000000,72.290000,18.680000,0,0,2096.97

83,20:30-20:45,0.000000,30.530000,24.020000,1.590000,24.100000,0.000000,37.240000,96.390000,96.390000,66.690000,91.570000,2.890000,84.030000,37.240000,24.100000,0.000000,37.240000,0.000000,0,0.000000,0.000000,1.930000,0.000000,24.770000,134.950000,0.000000,168.440000,0.000000,64.660000,30.530000,0.970000,9.640000,48.200000,240.980000,11.570000,0.000000,48.200000,0.520000,96.390000,0.000000,0.000000,90.610000,0.000000,24.100000,21.210000,0.360000,0.000000,0.000000,0.000000,192.780000,0.920000,24.100000,47.670000,48.200000,0.880000,0.670000,4.820000,0.880000,0.610000,12.420000,0.000000,72.290000,18.680000,0,0,2096.97

84,20:45-21:00,0.000000,30.530000,24.020000,1.590000,24.100000,0.000000,37.240000,96.390000,96.390000,66.690000,91.570000,2.890000,84.030000,37.240000,24.100000,0.000000,37.240000,0.000000,0,0.000000,0.000000,1.930000,0.000000,24.770000,134.950000,0.000000,168.440000,0.000000,64.660000,30.530000,0.970000,9.640000,48.200000,240.980000,11.570000,0.000000,48.200000,0.520000,96.390000,0.000000,0.000000,90.610000,0.000000,24.100000,21.210000,0.360000,0.000000,0.000000,0.000000,192.780000,0.920000,24.100000,47.670000,48.200000,0.880000,0.670000,4.820000,0.880000,0.610000,12.420000,0.000000,72.290000,18.680000,0,0,2096.97

85,21:00-21:15,0.000000,30.530000,24.020000,1.590000,24.100000,0.000000,37.240000,96.390000,96.390000,66.690000,91.570000,2.890000,84.030000,37.240000,24.100000,0.000000,37.240000,0.000000,0,0.000000,0.000000,1.930000,0.000000,24.770000,134.950000,0.000000,168.440000,0.000000,64.660000,30.530000,0.970000,9.640000,48.200000,240.980000,11.570000,0.000000,48.200000,0.520000,96.390000,0.000000,192.780000,90.610000,0.000000,24.100000,21.210000,0.360000,0.000000,72.290000,0.000000,192.780000,0.920000,24.100000,47.670000,48.200000,0.880000,0.670000,4.820000,0.880000,0.610000,12.420000,96.390000,72.290000,18.680000,0,0,2458.43

86,21:15-21:30,0.000000,30.530000,24.020000,1.590000,24.100000,0.000000,37.240000,96.390000,96.390000,66.690000,91.570000,2.890000,84.030000,37.240000,24.100000,0.000000,37.240000,0.000000,0,0.000000,0.000000,1.930000,0.000000,24.770000,134.950000,0.000000,168.440000,0.000000,64.660000,30.530000,0.970000,9.640000,48.200000,240.980000,11.570000,0.000000,48.200000,0.520000,96.390000,0.000000,192.780000,90.610000,0.000000,24.100000,21.210000,0.360000,0.000000,72.290000,0.000000,192.780000,0.920000,24.100000,47.670000,48.200000,0.880000,0.670000,4.820000,0.880000,0.610000,12.420000,96.390000,72.290000,18.680000,0,0,2458.43

87,21:30-21:45,0.000000,30.530000,24.020000,1.590000,24.100000,0.000000,37.240000,96.390000,96.390000,66.690000,91.570000,2.890000,84.030000,37.240000,24.100000,0.000000,37.240000,0.000000,0,0.000000,0.000000,1.930000,0.000000,24.770000,134.950000,0.000000,168.440000,0.000000,64.660000,30.530000,0.970000,9.640000,48.200000,240.980000,11.570000,0.000000,48.200000,0.520000,96.390000,0.000000,192.780000,90.610000,0.000000,24.100000,21.210000,0.360000,0.000000,72.290000,0.000000,192.780000,0.920000,24.100000,47.670000,48.200000,0.880000,0.670000,4.820000,0.880000,0.610000,12.420000,96.390000,72.290000,18.680000,0,0,2458.43

88,21:45-22:00,0.000000,30.530000,24.020000,1.590000,24.100000,0.000000,37.240000,96.390000,96.390000,66.690000,91.570000,2.890000,84.030000,37.240000,24.100000,0.000000,37.240000,0.000000,0,0.000000,0.000000,1.930000,0.000000,24.770000,134.950000,0.000000,168.440000,0.000000,64.660000,30.530000,0.970000,9.640000,48.200000,240.980000,11.570000,0.000000,48.200000,0.520000,96.390000,0.000000,192.780000,90.610000,0.000000,24.100000,21.210000,0.360000,0.000000,72.290000,0.000000,192.780000,0.920000,24.100000,47.670000,48.200000,0.880000,0.670000,4.820000,0.880000,0.610000,12.420000,96.390000,72.290000,18.680000,0,0,2458.43

89,22:00-22:15,0.000000,30.530000,24.020000,1.590000,24.100000,0.000000,37.240000,96.390000,96.390000,66.690000,91.570000,2.890000,84.030000,37.240000,24.100000,24.100000,37.240000,12.190000,0,0.000000,0.000000,1.930000,0.000000,24.770000,134.950000,72.290000,168.440000,0.000000,64.660000,30.530000,0.970000,9.640000,48.200000,240.980000,9.640000,0.000000,48.200000,0.520000,96.390000,0.000000,192.780000,90.610000,0.000000,24.100000,21.210000,0.360000,0.000000,72.290000,0.000000,192.780000,0.920000,24.100000,47.670000,48.200000,0.880000,0.670000,4.820000,0.880000,0.610000,12.420000,144.580000,72.290000,18.960000,0,0,2613.55

90,22:15-22:30,0.000000,30.530000,24.020000,1.590000,24.100000,0.000000,37.240000,96.390000,96.390000,66.690000,91.570000,2.890000,84.030000,37.240000,24.100000,24.100000,37.240000,12.190000,0,0.000000,0.000000,1.930000,0.000000,24.770000,134.950000,72.290000,168.440000,0.000000,64.660000,30.530000,0.970000,9.640000,48.200000,240.980000,9.640000,0.000000,48.200000,0.520000,96.390000,0.000000,192.780000,90.610000,0.000000,24.100000,21.210000,0.360000,0.000000,72.290000,0.000000,192.780000,0.920000,24.100000,47.670000,48.200000,0.880000,0.670000,4.820000,0.880000,0.610000,12.420000,144.580000,72.290000,18.960000,0,0,2613.55

91,22:30-22:45,0.000000,30.530000,24.020000,1.590000,24.100000,0.000000,37.240000,96.390000,96.390000,66.690000,308.450000,2.890000,84.030000,37.240000,24.100000,24.100000,37.240000,12.190000,0,0.000000,0.000000,1.930000,0.000000,24.770000,134.950000,72.290000,168.440000,0.000000,64.660000,30.530000,0.970000,9.640000,48.200000,240.980000,9.640000,0.000000,48.200000,0.520000,96.390000,0.000000,192.780000,90.610000,0.000000,24.100000,21.210000,0.360000,0.000000,72.290000,0.000000,192.780000,0.920000,24.100000,47.670000,48.200000,0.880000,0.670000,4.820000,0.880000,0.610000,12.420000,144.580000,72.290000,18.960000,0,0,2830.43

92,22:45-23:00,0.000000,30.530000,24.020000,1.590000,24.100000,0.000000,37.240000,96.390000,96.390000,66.690000,308.450000,2.890000,84.030000,37.240000,24.100000,24.100000,37.240000,12.190000,0,0.000000,0.000000,1.930000,0.000000,24.770000,134.950000,72.290000,168.440000,0.000000,64.660000,30.530000,0.970000,9.640000,48.200000,240.980000,9.640000,0.000000,48.200000,0.520000,96.390000,0.000000,192.780000,90.610000,0.000000,24.100000,21.210000,0.360000,0.000000,72.290000,0.000000,192.780000,0.920000,24.100000,47.670000,48.200000,0.880000,0.670000,4.820000,0.880000,0.610000,12.420000,144.580000,72.290000,18.960000,0,0,2830.43

93,23:00-23:15,0.000000,30.530000,24.020000,1.590000,24.100000,0.000000,37.240000,96.390000,96.390000,66.690000,308.450000,2.890000,84.030000,37.240000,24.100000,24.100000,37.240000,12.190000,0,0.000000,0.000000,1.930000,0.000000,24.770000,134.950000,72.290000,168.440000,0.000000,64.660000,30.530000,0.970000,9.640000,48.200000,240.980000,8.680000,0.000000,48.200000,0.520000,96.390000,0.000000,192.780000,90.610000,0.000000,24.100000,21.210000,0.360000,0.000000,72.290000,0.000000,192.780000,0.870000,24.100000,47.670000,48.200000,0.880000,0.670000,4.820000,0.880000,0.610000,12.420000,144.580000,72.290000,18.960000,0,0,2829.42

94,23:15-23:30,0.000000,30.530000,24.020000,1.590000,24.100000,0.000000,37.240000,96.390000,96.390000,66.690000,308.450000,2.890000,84.030000,37.240000,24.100000,24.100000,37.240000,12.190000,0,0.000000,0.000000,1.930000,0.000000,24.770000,134.950000,72.290000,168.440000,0.000000,64.660000,30.530000,0.970000,9.640000,48.200000,240.980000,8.680000,0.000000,48.200000,0.520000,96.390000,0.000000,192.780000,90.610000,0.000000,24.100000,21.210000,0.360000,0.000000,72.290000,0.000000,192.780000,0.870000,24.100000,47.670000,48.200000,0.880000,0.670000,4.820000,0.880000,0.610000,12.420000,144.580000,72.290000,18.960000,0,0,2829.42

95,23:30-23:45,0.000000,30.530000,24.020000,1.590000,24.100000,0.000000,37.240000,96.390000,96.390000,66.690000,308.450000,2.890000,84.030000,37.240000,24.100000,24.100000,37.240000,12.190000,0,0.000000,0.000000,1.930000,0.000000,24.770000,134.950000,72.290000,168.440000,0.000000,64.660000,30.530000,0.970000,9.640000,48.200000,240.980000,8.680000,0.000000,48.200000,0.520000,96.390000,0.000000,192.780000,90.610000,0.000000,24.100000,21.210000,0.360000,0.000000,72.290000,0.000000,192.780000,0.870000,24.100000,47.670000,48.200000,0.880000,0.670000,4.820000,0.880000,0.610000,12.420000,144.580000,72.290000,18.960000,0,0,2829.42

96,23:45-24:00,0.000000,30.530000,24.020000,1.590000,24.100000,0.000000,37.240000,96.390000,96.390000,66.690000,308.450000,2.890000,84.030000,37.240000,24.100000,24.100000,37.240000,12.190000,0,0.000000,0.000000,1.930000,0.000000,24.770000,134.950000,72.290000,168.440000,0.000000,64.660000,30.530000,0.970000,9.640000,48.200000,240.980000,8.680000,0.000000,48.200000,0.520000,96.390000,0.000000,192.780000,90.610000,0.000000,24.100000,21.210000,0.360000,0.000000,72.290000,0.000000,192.780000,0.870000,24.100000,47.670000,48.200000,0.880000,0.670000,4.820000,0.880000,0.610000,12.420000,144.580000,72.290000,18.960000,0,0,2829.42

