Time,Block,NR/2024/21061/C,NR/2024/19355/A/23837,NR/2024/20048/A/23664,NR/2024/20109/A/23836,NR/2024/21064/C,NR/2024/20041/A/23668,NR/2024/20540/A/23323,NR/2024/19779/A/23456,NR/2024/20141/A/23591,NR/2024/19757/A/23988,NR/2024/21019/C,NR/2024/20599/A/23489,NR/2024/19588/A/23582,NR/2024/20572/A/23981,NR/2024/20557/A/23984,NR/2024/20130/A/23848,NR/2024/20558/A/23983,NR/2024/19642/A/24003,NR/2024/20513/A/23596,NR/2024/19637/A/23607,NR/2024/20144/A/23590,NR/2024/20037/A/23491,NR/2024/19475/A/23842,NR/2024/21097/C,NR/2024/19966/A/23588,NR/2024/20537/A/23831,NR/2024/20142/A/23589,NR/2024/19988/A/23493,NR/2024/20777/A/23485,NR/2024/19683/A/23549,NR/2024/20050/A/23662,NR/2024/19978/A/23944,NR/2024/19919/A/23936,NR/2024/19432/A/23992,NR/2024/20560/A/23982,NR/2024/19918/A/23941,NR/2024/20090/A/23532,NR/2024/19699/A/23990,NR/2024/19640/A/24002,NR/2024/20553/A/23528,NR/2024/19760/A/23495,NR/2024/19791/A/23947,NR/2024/20597/A/23660,NR/2024/20211/A/23592,NR/2024/20524/A/23866,NR/2024/20212/A/23593,NR/2024/20552/A/23529,NR/2024/20554/A/23425,NR/2024/21063/C,NR/2024/20516/A/23594,NR/2024/20515/A/23595,NR/2024/20598/A/23487,Total
87,21:30-21:45,0,96.470000,0.000000,241.180000,0.000000,0.000000,11.580000,0.770000,0.350000,48.600000,0.000000,0.000000,66.750000,32.890000,10.960000,0.480000,32.890000,0.000000,0.680000,0.000000,0.880000,72.350000,192.940000,96.470000,0.000000,0.000000,0.520000,96.470000,0.000000,1.930000,0.000000,84.100000,48.240000,24.120000,32.890000,13.510000,1.930000,48.240000,90.680000,48.240000,0.000000,64.710000,0.000000,1.590000,19.290000,0.610000,28.940000,48.240000,168.580000,0.970000,0.880000,0.000000,1730.92

88,21:45-22:00,0,96.470000,0.000000,241.180000,0.000000,0.000000,11.580000,0.770000,0.350000,48.600000,0.000000,0.000000,66.750000,32.890000,10.960000,0.480000,32.890000,0.000000,0.680000,0.000000,0.880000,72.350000,192.940000,96.470000,0.000000,0.000000,0.520000,96.470000,0.000000,1.930000,0.000000,84.100000,48.240000,24.120000,32.890000,13.510000,1.930000,48.240000,90.680000,48.240000,0.000000,64.710000,0.000000,1.590000,19.290000,0.610000,28.940000,48.240000,168.580000,0.970000,0.880000,0.000000,1730.92

89,22:00-22:15,0,96.470000,36.180000,241.180000,0.000000,0.000000,8.680000,0.720000,0.350000,48.600000,2.890000,0.000000,66.750000,32.890000,10.960000,0.480000,32.890000,0.000000,0.680000,0.000000,0.880000,72.350000,192.940000,96.470000,0.000000,0.000000,0.520000,96.470000,0.000000,1.930000,108.530000,84.100000,48.240000,24.120000,32.890000,13.510000,1.930000,48.240000,90.680000,48.240000,0.000000,64.710000,0.000000,1.590000,19.290000,0.610000,28.940000,48.240000,168.580000,0.970000,0.880000,0.000000,1875.57

90,22:15-22:30,0,96.470000,36.180000,241.180000,0.000000,0.000000,8.680000,0.720000,0.350000,48.600000,2.890000,0.000000,66.750000,32.890000,10.960000,0.480000,32.890000,0.000000,0.680000,0.000000,0.880000,72.350000,192.940000,96.470000,0.000000,0.000000,0.520000,96.470000,0.000000,1.930000,108.530000,84.100000,48.240000,24.120000,32.890000,13.510000,1.930000,48.240000,90.680000,48.240000,0.000000,64.710000,0.000000,1.590000,19.290000,0.610000,28.940000,48.240000,168.580000,0.970000,0.880000,0.000000,1875.57

91,22:30-22:45,0,96.470000,36.180000,241.180000,0.000000,0.000000,8.680000,0.720000,0.350000,48.600000,2.890000,0.000000,66.750000,32.890000,10.960000,0.480000,32.890000,0.000000,0.680000,0.000000,0.880000,72.350000,192.940000,96.470000,0.000000,0.000000,0.520000,96.470000,0.000000,1.930000,108.530000,84.100000,308.700000,24.120000,32.890000,13.510000,1.930000,48.240000,90.680000,48.240000,0.000000,64.710000,0.000000,1.590000,19.290000,0.610000,28.940000,48.240000,168.580000,0.970000,0.880000,0.000000,2136.03

92,22:45-23:00,0,96.470000,36.180000,241.180000,0.000000,0.000000,8.680000,0.720000,0.350000,48.600000,2.890000,0.000000,66.750000,32.890000,10.960000,0.480000,32.890000,0.000000,0.680000,0.000000,0.880000,72.350000,192.940000,96.470000,0.000000,0.000000,0.520000,96.470000,0.000000,1.930000,108.530000,84.100000,308.700000,24.120000,32.890000,13.510000,1.930000,48.240000,90.680000,48.240000,0.000000,64.710000,0.000000,1.590000,19.290000,0.610000,28.940000,48.240000,168.580000,0.970000,0.880000,0.000000,2136.03

93,23:00-23:15,0,96.470000,36.180000,241.180000,0.000000,0.000000,8.680000,0.630000,0.350000,48.600000,0.960000,0.000000,66.750000,32.890000,10.960000,0.480000,32.890000,0.000000,0.680000,0.000000,0.880000,72.350000,192.940000,96.470000,0.000000,0.000000,0.520000,96.470000,0.000000,1.930000,108.530000,84.100000,308.700000,24.120000,32.890000,13.510000,1.930000,48.240000,90.680000,48.240000,0.000000,64.710000,0.000000,1.590000,19.290000,0.610000,28.940000,48.240000,168.580000,0.970000,0.880000,0.000000,2134.01

94,23:15-23:30,0,96.470000,36.180000,241.180000,0.000000,0.000000,8.680000,0.630000,0.350000,48.600000,0.960000,0.000000,66.750000,32.890000,10.960000,0.480000,32.890000,0.000000,0.680000,0.000000,0.880000,72.350000,192.940000,96.470000,0.000000,0.000000,0.520000,96.470000,0.000000,1.930000,108.530000,84.100000,308.700000,24.120000,32.890000,13.510000,1.930000,48.240000,90.680000,48.240000,0.000000,64.710000,0.000000,1.590000,19.290000,0.610000,28.940000,48.240000,168.580000,0.970000,0.880000,0.000000,2134.01

95,23:30-23:45,0,96.470000,36.180000,241.180000,0.000000,0.000000,8.680000,0.630000,0.350000,48.600000,0.960000,0.000000,66.750000,32.890000,10.960000,0.480000,32.890000,0.000000,0.680000,0.000000,0.880000,72.350000,192.940000,96.470000,0.000000,0.000000,0.520000,96.470000,0.000000,1.930000,108.530000,84.100000,308.700000,24.120000,32.890000,13.510000,1.930000,48.240000,90.680000,48.240000,0.000000,64.710000,0.000000,1.590000,19.290000,0.610000,28.940000,48.240000,168.580000,0.970000,0.880000,0.000000,2134.01

96,23:45-24:00,0,96.470000,36.180000,241.180000,0.000000,0.000000,8.680000,0.630000,0.350000,48.600000,0.960000,0.000000,66.750000,32.890000,10.960000,0.480000,32.890000,0.000000,0.680000,0.000000,0.880000,72.350000,192.940000,96.470000,0.000000,0.000000,0.520000,96.470000,0.000000,1.930000,108.530000,84.100000,308.700000,24.120000,32.890000,13.510000,1.930000,48.240000,90.680000,48.240000,0.000000,64.710000,0.000000,1.590000,19.290000,0.610000,28.940000,48.240000,168.580000,0.970000,0.880000,0.000000,2134.01

