Time,Block,NR/2024/21371/C,NR/01102023/14082046/L_NR_2021_16,NR/01102023/02012046/L_NR_2021_17,NR/2024/21158/A/25371,NR/2024/20930/A/25545,NR/2024/21113/A/25586,NR/2024/21210/A/25317,NR/2024/21150/A/25361,NR/30092023/26122029/SH-06,NR/01072024/31072024/APPCPL/180/F25/TGNA/3250,NR/2024/21142/A/25316,NR/2024/21339/A/25557,NR/2024/20711/A/25565,NR/2024/21159/A/25370,NR/2024/21373/C,NR/2024/21321/A/25356,NR/2024/21153/A/25372,NR/01072024/31072024/	NR/01072024/31072024/TataPower-DDL/PMG/MSEDCL/Banking/12112023,NR/01102023/23072042/L_NR_2012_04,NR/05072024/31072024/1000011449-JITPL-BRPL(DISCOM),NR/30092023/31122025/SH-07,NR/2024/21108/A/25576,NR/2024/21238/A/25626,NR/2024/21099/A/25313,NR/2024/21023/A/25349,NR/2024/21096/A/25582,NR/2024/21072/A/25588,NR/2024/21199/A/25348,NR/2024/21076/A/25614,NR/2024/21183/A/25617,NR/01072024/31072024/NDMC/D-54/EE(POWER)2024,NR/2024/21243/A/25334,NR/2024/21141/A/25314,NR/2024/21103/A/25579,NR/01102023/25122043/GNA_MEJA_DELHI,NR/01072024/31072024/R2,NR/2024/20966/A/25298,NR/2024/21146/A/25367,NR/2024/21186/A/25598,NR/01072024/31072024/IIPL/JPL(SH)-BRPL/BRPL T-249/24-25/1,NR/01072024/15072024/NR/01072024/15072024/717759,NR/2024/21087/A/25402,NR/2024/21144/A/25345,NR/2024/21148/A/25368,NR/2024/20574/A/25612,NR/2024/21372/C,NR/2024/20877/A/25600,NR/2024/20688/A/25403,NR/2024/19779/A/25325,NR/2024/21075/A/25618,NR/01072024/31072024/NDMC/D-55/EE(POWER)2024,NR/2024/21160/A/25369,NR/2024/21089/A/25587,NR/01072024/31072024/IIPL/JPL(TM)-BRPL/BRPLT-169/24-25/02,NR/01072024/31072024/Chanju/TPDDL/Jul01072024,NR/2024/21062/A/25599,NR/2024/21104/A/25577,NR/2024/21156/A/25373,NR/2024/21227/A/25578,NR/2024/21152/A/25297,NR/2024/20573/A/25613,NR/2024/21173/A/25401,NR/2024/21369/C,Total
69,17:00-17:15,2.29,0,0,0.670000,163.860000,37.240000,40.970000,0.880000,26.910000,0.000000,40.970000,81.930000,96.390000,0.880000,168.440000,11.570000,1.590000,0.000000,0.000000,0.000000,26.910000,24.020000,2.890000,20.480000,81.930000,120.490000,37.240000,61.450000,90.610000,18.020000,12.420000,134.950000,0.000000,84.030000,0.000000,0.000000,4.820000,0.360000,48.200000,0.000000,0.000000,20.720000,0.480000,0.520000,0.000000,24.100000,96.390000,66.690000,0.870000,11.710000,14.340000,0.970000,37.240000,0.000000,0.000000,20.480000,64.660000,0.610000,0.000000,1.930000,0.000000,20.720000,240.980000,2066.82

70,17:15-17:30,0.32,0,0,0.670000,163.860000,37.240000,40.970000,0.880000,26.910000,0.000000,40.970000,81.930000,96.390000,0.880000,168.440000,11.570000,1.590000,0.000000,0.000000,0.000000,26.910000,24.020000,2.890000,20.480000,81.930000,120.490000,37.240000,61.450000,90.610000,18.020000,12.420000,134.950000,0.000000,84.030000,0.000000,0.000000,4.820000,0.360000,48.200000,0.000000,0.000000,20.720000,0.480000,0.520000,0.000000,24.100000,96.390000,66.690000,0.870000,11.710000,14.340000,0.970000,37.240000,0.000000,0.000000,20.480000,64.660000,0.610000,0.000000,1.930000,0.000000,20.720000,240.980000,2064.85

71,17:30-17:45,0.51,0,0,0.670000,163.860000,37.240000,40.970000,0.880000,26.910000,0.000000,40.970000,81.930000,96.390000,0.880000,168.440000,11.570000,1.590000,0.000000,0.000000,0.000000,26.910000,24.020000,2.890000,20.480000,81.930000,120.490000,37.240000,61.450000,90.610000,18.020000,12.420000,134.950000,0.000000,84.030000,0.000000,0.000000,4.820000,0.360000,48.200000,0.000000,0.000000,20.720000,0.480000,0.520000,0.000000,24.100000,96.390000,66.690000,0.870000,11.710000,14.340000,0.970000,37.240000,0.000000,0.000000,20.480000,64.660000,0.610000,0.000000,1.930000,0.000000,20.720000,240.980000,2065.04

72,17:45-18:00,1.07,0,0,0.670000,163.860000,37.240000,40.970000,0.880000,26.910000,0.000000,40.970000,81.930000,96.390000,0.880000,168.440000,11.570000,1.590000,0.000000,0.000000,0.000000,26.910000,24.020000,2.890000,20.480000,81.930000,120.490000,37.240000,61.450000,90.610000,18.020000,12.420000,134.950000,0.000000,84.030000,0.000000,0.000000,4.820000,0.360000,48.200000,0.000000,0.000000,20.720000,0.480000,0.520000,0.000000,24.100000,96.390000,66.690000,0.870000,11.710000,14.340000,0.970000,37.240000,0.000000,0.000000,20.480000,64.660000,0.610000,0.000000,1.930000,0.000000,20.720000,240.980000,2065.6

73,18:00-18:15,1.06,0,0,0.670000,0.000000,37.240000,40.970000,0.880000,26.910000,0.000000,40.970000,0.000000,96.390000,0.880000,168.440000,11.570000,1.590000,0.000000,0.000000,81.930000,26.910000,24.020000,2.890000,20.480000,0.000000,120.490000,37.240000,0.000000,90.610000,18.020000,12.420000,134.950000,47.670000,84.030000,0.000000,20.480000,4.820000,0.360000,48.200000,61.450000,163.860000,20.720000,0.480000,0.520000,0.000000,24.100000,96.390000,66.690000,0.870000,0.000000,14.340000,0.970000,37.240000,81.930000,4.690000,0.000000,64.660000,0.610000,0.000000,1.930000,0.000000,20.720000,240.980000,2106.24

74,18:15-18:30,0.73,0,0,0.670000,0.000000,37.240000,40.970000,0.880000,26.910000,0.000000,40.970000,0.000000,96.390000,0.880000,168.440000,11.570000,1.590000,0.000000,0.000000,81.930000,26.910000,24.020000,2.890000,20.480000,0.000000,120.490000,37.240000,0.000000,90.610000,18.020000,12.420000,134.950000,47.670000,84.030000,0.000000,20.480000,4.820000,0.360000,48.200000,61.450000,163.860000,20.720000,0.480000,0.520000,0.000000,24.100000,96.390000,66.690000,0.870000,0.000000,14.340000,0.970000,37.240000,81.930000,4.690000,0.000000,64.660000,0.610000,0.000000,1.930000,0.000000,20.720000,240.980000,2105.91

75,18:30-18:45,0.45,0,0,0.670000,0.000000,37.240000,40.970000,0.880000,26.910000,0.000000,40.970000,0.000000,96.390000,0.880000,168.440000,11.570000,1.590000,0.000000,0.000000,81.930000,26.910000,24.020000,2.890000,20.480000,0.000000,91.570000,37.240000,0.000000,90.610000,18.020000,12.420000,134.950000,47.670000,84.030000,0.000000,20.480000,4.820000,0.360000,48.200000,61.450000,163.860000,20.720000,0.480000,0.520000,0.000000,24.100000,96.390000,66.690000,0.870000,0.000000,14.340000,0.970000,37.240000,81.930000,4.690000,0.000000,64.660000,0.610000,0.000000,1.930000,0.000000,20.720000,240.980000,2076.71

76,18:45-19:00,0.25,0,0,0.670000,0.000000,37.240000,40.970000,0.880000,26.910000,0.000000,40.970000,0.000000,96.390000,0.880000,168.440000,11.570000,1.590000,0.000000,0.000000,81.930000,26.910000,24.020000,2.890000,20.480000,0.000000,91.570000,37.240000,0.000000,90.610000,18.020000,12.420000,134.950000,47.670000,84.030000,0.000000,20.480000,4.820000,0.360000,48.200000,61.450000,163.860000,20.720000,0.480000,0.520000,0.000000,24.100000,96.390000,66.690000,0.870000,0.000000,14.340000,0.970000,37.240000,81.930000,4.690000,0.000000,64.660000,0.610000,0.000000,1.930000,0.000000,20.720000,240.980000,2076.51

77,19:00-19:15,0,0,0,0.670000,0.000000,37.240000,40.970000,0.880000,26.910000,0.000000,40.970000,0.000000,96.390000,0.880000,168.440000,11.570000,1.590000,0.000000,0.000000,81.930000,26.910000,24.020000,2.890000,20.480000,0.000000,91.570000,37.240000,0.000000,90.610000,18.020000,12.420000,134.950000,47.670000,84.030000,0.000000,20.480000,4.820000,0.360000,48.200000,61.450000,163.860000,20.720000,0.480000,0.520000,0.000000,14.460000,96.390000,66.690000,0.920000,0.000000,14.340000,0.970000,37.240000,81.930000,4.690000,0.000000,64.660000,0.610000,0.000000,1.930000,0.000000,20.720000,240.980000,2066.67

78,19:15-19:30,0,0,0,0.670000,0.000000,37.240000,40.970000,0.880000,26.910000,0.000000,40.970000,0.000000,96.390000,0.880000,168.440000,11.570000,1.590000,0.000000,0.000000,81.930000,26.910000,24.020000,2.890000,20.480000,0.000000,91.570000,37.240000,0.000000,90.610000,18.020000,12.420000,134.950000,47.670000,84.030000,0.000000,20.480000,4.820000,0.360000,48.200000,61.450000,163.860000,20.720000,0.480000,0.520000,0.000000,14.460000,96.390000,66.690000,0.920000,0.000000,14.340000,0.970000,37.240000,81.930000,4.690000,0.000000,64.660000,0.610000,0.000000,1.930000,0.000000,20.720000,240.980000,2066.67

79,19:30-19:45,0,0,0,0.670000,0.000000,37.240000,40.970000,0.880000,26.330000,0.000000,40.970000,0.000000,96.390000,0.880000,168.440000,11.570000,1.590000,0.000000,0.000000,81.930000,32.000000,24.020000,2.890000,20.480000,0.000000,91.570000,37.240000,0.000000,90.610000,18.020000,12.420000,134.950000,47.670000,84.030000,0.000000,20.480000,4.820000,0.360000,48.200000,61.450000,163.860000,20.720000,0.480000,0.520000,0.000000,14.460000,96.390000,66.690000,0.920000,0.000000,14.340000,0.970000,37.240000,81.930000,4.690000,0.000000,64.660000,0.610000,0.000000,1.930000,0.000000,20.720000,240.980000,2071.18

80,19:45-20:00,0,0,0,0.670000,0.000000,37.240000,40.970000,0.880000,26.330000,0.000000,40.970000,0.000000,96.390000,0.880000,168.440000,11.570000,1.590000,0.000000,0.000000,81.930000,32.000000,24.020000,2.890000,20.480000,0.000000,91.570000,37.240000,0.000000,90.610000,18.020000,12.420000,134.950000,47.670000,84.030000,0.000000,20.480000,4.820000,0.360000,48.200000,61.450000,163.860000,20.720000,0.480000,0.520000,0.000000,14.460000,96.390000,66.690000,0.920000,0.000000,14.340000,0.970000,37.240000,81.930000,4.690000,0.000000,64.660000,0.610000,0.000000,1.930000,0.000000,20.720000,240.980000,2071.18

81,20:00-20:15,0,0,0,0.670000,0.000000,37.240000,40.970000,0.880000,24.280000,0.000000,40.970000,0.000000,96.390000,0.880000,168.440000,11.570000,1.590000,0.000000,0.000000,81.930000,32.000000,24.020000,2.890000,20.480000,0.000000,91.570000,37.240000,0.000000,90.610000,18.020000,12.420000,134.950000,47.670000,84.030000,0.000000,20.480000,4.820000,0.360000,48.200000,61.450000,163.860000,20.720000,0.480000,0.520000,0.000000,14.460000,96.390000,66.690000,0.920000,0.000000,14.340000,0.970000,37.240000,81.930000,4.690000,0.000000,64.660000,0.610000,0.000000,1.930000,0.000000,20.720000,240.980000,2069.13

82,20:15-20:30,0,0,0,0.670000,0.000000,37.240000,40.970000,0.880000,24.280000,0.000000,40.970000,0.000000,96.390000,0.880000,168.440000,11.570000,1.590000,0.000000,0.000000,81.930000,32.000000,24.020000,2.890000,20.480000,0.000000,91.570000,37.240000,0.000000,90.610000,18.020000,12.420000,134.950000,47.670000,84.030000,0.000000,20.480000,4.820000,0.360000,48.200000,61.450000,163.860000,20.720000,0.480000,0.520000,0.000000,14.460000,96.390000,66.690000,0.920000,0.000000,14.340000,0.970000,37.240000,81.930000,4.690000,0.000000,64.660000,0.610000,0.000000,1.930000,0.000000,20.720000,240.980000,2069.13

83,20:30-20:45,0,0,0,0.670000,0.000000,37.240000,40.970000,0.880000,12.960000,0.000000,40.970000,0.000000,96.390000,0.880000,168.440000,11.570000,1.590000,0.000000,0.000000,81.930000,32.000000,24.020000,2.890000,20.480000,0.000000,91.570000,37.240000,0.000000,90.610000,18.020000,12.420000,134.950000,47.670000,84.030000,0.000000,20.480000,4.820000,0.360000,48.200000,61.450000,163.860000,20.720000,0.480000,0.520000,0.000000,14.460000,96.390000,66.690000,0.920000,0.000000,14.340000,0.970000,37.240000,81.930000,4.690000,0.000000,64.660000,0.610000,0.000000,1.930000,0.000000,20.720000,240.980000,2057.81

84,20:45-21:00,0,0,0,0.670000,0.000000,37.240000,40.970000,0.880000,12.960000,0.000000,40.970000,0.000000,96.390000,0.880000,168.440000,11.570000,1.590000,0.000000,0.000000,81.930000,32.000000,24.020000,2.890000,20.480000,0.000000,91.570000,37.240000,0.000000,90.610000,18.020000,12.420000,134.950000,47.670000,84.030000,0.000000,20.480000,4.820000,0.360000,48.200000,61.450000,163.860000,20.720000,0.480000,0.520000,0.000000,14.460000,96.390000,66.690000,0.920000,0.000000,14.340000,0.970000,37.240000,81.930000,4.690000,0.000000,64.660000,0.610000,0.000000,1.930000,0.000000,20.720000,240.980000,2057.81

85,21:00-21:15,0,0,0,0.670000,0.000000,37.240000,40.970000,0.880000,12.960000,0.000000,40.970000,0.000000,96.390000,0.880000,168.440000,11.570000,1.590000,0.000000,0.000000,81.930000,32.000000,24.020000,2.890000,20.480000,0.000000,91.570000,37.240000,0.000000,90.610000,18.020000,12.420000,134.950000,47.670000,84.030000,0.000000,20.480000,4.820000,0.360000,48.200000,61.450000,163.860000,20.720000,0.480000,0.520000,0.000000,14.460000,96.390000,66.690000,0.920000,0.000000,14.340000,0.970000,37.240000,81.930000,4.690000,0.000000,64.660000,0.610000,0.000000,1.930000,0.000000,20.720000,240.980000,2057.81

86,21:15-21:30,0,0,0,0.670000,0.000000,37.240000,40.970000,0.880000,12.960000,0.000000,40.970000,0.000000,96.390000,0.880000,168.440000,11.570000,1.590000,0.000000,0.000000,81.930000,32.000000,24.020000,2.890000,20.480000,0.000000,91.570000,37.240000,0.000000,90.610000,18.020000,12.420000,134.950000,47.670000,84.030000,0.000000,20.480000,4.820000,0.360000,48.200000,61.450000,163.860000,20.720000,0.480000,0.520000,0.000000,14.460000,96.390000,66.690000,0.920000,0.000000,14.340000,0.970000,37.240000,81.930000,4.690000,0.000000,64.660000,0.610000,0.000000,1.930000,0.000000,20.720000,240.980000,2057.81

87,21:30-21:45,0,0,0,0.670000,0.000000,37.240000,40.970000,0.880000,12.960000,0.000000,40.970000,0.000000,96.390000,0.880000,168.440000,11.570000,1.590000,0.000000,0.000000,81.930000,32.000000,24.020000,2.890000,20.480000,0.000000,91.570000,37.240000,0.000000,90.610000,18.020000,12.420000,134.950000,47.670000,84.030000,0.000000,20.480000,4.820000,0.360000,48.200000,61.450000,163.860000,20.720000,0.480000,0.520000,0.000000,14.460000,96.390000,66.690000,0.920000,0.000000,14.340000,0.970000,37.240000,81.930000,4.690000,0.000000,64.660000,0.610000,0.000000,1.930000,0.000000,20.720000,240.980000,2057.81

88,21:45-22:00,0,0,0,0.670000,0.000000,37.240000,40.970000,0.880000,12.960000,0.000000,40.970000,0.000000,96.390000,0.880000,168.440000,11.570000,1.590000,0.000000,0.000000,81.930000,32.000000,24.020000,2.890000,20.480000,0.000000,91.570000,37.240000,0.000000,90.610000,18.020000,12.420000,134.950000,47.670000,84.030000,0.000000,20.480000,4.820000,0.360000,48.200000,61.450000,163.860000,20.720000,0.480000,0.520000,0.000000,14.460000,96.390000,66.690000,0.920000,0.000000,14.340000,0.970000,37.240000,81.930000,4.690000,0.000000,64.660000,0.610000,0.000000,1.930000,0.000000,20.720000,240.980000,2057.81

89,22:00-22:15,0,0,0,0.670000,0.000000,37.240000,40.970000,0.880000,12.960000,0.000000,40.970000,0.000000,96.390000,0.880000,168.440000,9.640000,1.590000,0.000000,0.000000,81.930000,32.000000,24.020000,2.890000,20.480000,0.000000,91.570000,37.240000,0.000000,90.610000,18.020000,12.420000,134.950000,47.670000,84.030000,0.000000,20.480000,4.820000,0.360000,48.200000,61.450000,163.860000,20.720000,0.480000,0.520000,24.100000,14.460000,96.390000,66.690000,0.920000,0.000000,14.340000,0.970000,37.240000,81.930000,4.690000,0.000000,64.660000,0.610000,12.190000,1.930000,72.290000,20.720000,240.980000,2164.46

90,22:15-22:30,0,0,0,0.670000,0.000000,37.240000,40.970000,0.880000,12.960000,0.000000,40.970000,0.000000,96.390000,0.880000,168.440000,9.640000,1.590000,0.000000,0.000000,81.930000,32.000000,24.020000,2.890000,20.480000,0.000000,91.570000,37.240000,0.000000,90.610000,18.020000,12.420000,134.950000,47.670000,84.030000,0.000000,20.480000,4.820000,0.360000,48.200000,61.450000,163.860000,20.720000,0.480000,0.520000,24.100000,14.460000,96.390000,66.690000,0.920000,0.000000,14.340000,0.970000,37.240000,81.930000,4.690000,0.000000,64.660000,0.610000,12.190000,1.930000,72.290000,20.720000,240.980000,2164.46

91,22:30-22:45,0,0,0,0.670000,0.000000,37.240000,40.970000,0.880000,25.760000,0.000000,40.970000,0.000000,96.390000,0.880000,168.440000,9.640000,1.590000,0.000000,0.000000,81.930000,25.760000,24.020000,2.890000,20.480000,0.000000,308.450000,37.240000,0.000000,90.610000,18.020000,12.420000,134.950000,47.670000,84.030000,0.000000,20.480000,4.820000,0.360000,48.200000,61.450000,163.860000,20.720000,0.480000,0.520000,24.100000,14.460000,96.390000,66.690000,0.920000,0.000000,14.340000,0.970000,37.240000,81.930000,4.690000,0.000000,64.660000,0.610000,12.190000,1.930000,72.290000,20.720000,240.980000,2387.9

92,22:45-23:00,0,0,0,0.670000,0.000000,37.240000,40.970000,0.880000,25.760000,0.000000,40.970000,0.000000,96.390000,0.880000,168.440000,9.640000,1.590000,0.000000,0.000000,81.930000,25.760000,24.020000,2.890000,20.480000,0.000000,308.450000,37.240000,0.000000,90.610000,18.020000,12.420000,134.950000,47.670000,84.030000,0.000000,20.480000,4.820000,0.360000,48.200000,61.450000,163.860000,20.720000,0.480000,0.520000,24.100000,14.460000,96.390000,66.690000,0.920000,0.000000,14.340000,0.970000,37.240000,81.930000,4.690000,0.000000,64.660000,0.610000,12.190000,1.930000,72.290000,20.720000,240.980000,2387.9

93,23:00-23:15,0,0,0,0.670000,0.000000,37.240000,40.970000,0.880000,25.760000,0.000000,40.970000,0.000000,96.390000,0.880000,168.440000,8.680000,1.590000,0.000000,0.000000,81.930000,25.760000,24.020000,2.890000,20.480000,0.000000,308.450000,37.240000,0.000000,90.610000,18.020000,12.420000,134.950000,47.670000,84.030000,0.000000,20.480000,4.820000,0.360000,48.200000,61.450000,163.860000,20.720000,0.480000,0.520000,24.100000,14.460000,96.390000,66.690000,0.870000,0.000000,14.340000,0.970000,37.240000,81.930000,4.690000,0.000000,64.660000,0.610000,12.190000,1.930000,72.290000,20.720000,240.980000,2386.89

94,23:15-23:30,0,0,0,0.670000,0.000000,37.240000,40.970000,0.880000,25.760000,0.000000,40.970000,0.000000,96.390000,0.880000,168.440000,8.680000,1.590000,0.000000,0.000000,81.930000,25.760000,24.020000,2.890000,20.480000,0.000000,308.450000,37.240000,0.000000,90.610000,18.020000,12.420000,134.950000,47.670000,84.030000,0.000000,20.480000,4.820000,0.360000,48.200000,61.450000,163.860000,20.720000,0.480000,0.520000,24.100000,14.460000,96.390000,66.690000,0.870000,0.000000,14.340000,0.970000,37.240000,81.930000,4.690000,0.000000,64.660000,0.610000,12.190000,1.930000,72.290000,20.720000,240.980000,2386.89

95,23:30-23:45,0,0,0,0.670000,0.000000,37.240000,40.970000,0.880000,25.760000,0.000000,40.970000,0.000000,96.390000,0.880000,168.440000,8.680000,1.590000,0.000000,0.000000,81.930000,25.760000,24.020000,2.890000,20.480000,0.000000,308.450000,37.240000,0.000000,90.610000,18.020000,12.420000,134.950000,47.670000,84.030000,0.000000,20.480000,4.820000,0.360000,48.200000,61.450000,163.860000,20.720000,0.480000,0.520000,24.100000,14.460000,96.390000,66.690000,0.870000,0.000000,14.340000,0.970000,37.240000,81.930000,4.690000,0.000000,64.660000,0.610000,12.190000,1.930000,72.290000,20.720000,240.980000,2386.89

96,23:45-24:00,0,0,0,0.670000,0.000000,37.240000,40.970000,0.880000,25.760000,0.000000,40.970000,0.000000,96.390000,0.880000,168.440000,8.680000,1.590000,0.000000,0.000000,81.930000,25.760000,24.020000,2.890000,20.480000,0.000000,308.450000,37.240000,0.000000,90.610000,18.020000,12.420000,134.950000,47.670000,84.030000,0.000000,20.480000,4.820000,0.360000,48.200000,61.450000,163.860000,20.720000,0.480000,0.520000,24.100000,14.460000,96.390000,66.690000,0.870000,0.000000,14.340000,0.970000,37.240000,81.930000,4.690000,0.000000,64.660000,0.610000,12.190000,1.930000,72.290000,20.720000,240.980000,2386.89

